model_name,val_accuracy,val_f1_macro,val_roc_auc,val_pr_auc,val_safe_precision,val_safe_recall,val_fraud_precision,val_fraud_recall,val_fraud_f1,val_fraud_recall_5fpr,test_accuracy,test_f1_macro,test_roc_auc,test_pr_auc,test_safe_precision,test_safe_recall,test_fraud_precision,test_fraud_recall,test_fraud_f1,test_fraud_recall_5fpr
xgboost_text,0.9668262653898769,0.9661442824997425,0.9947552121513815,0.993141565530308,0.9753309265944645,0.9666070363744782,0.9556259904912837,0.967121090617482,0.9613391789557593,0.9719326383319968,0.9678522571819426,0.9671617682198328,0.9949479227187588,0.9932312805741302,0.9736684619988031,0.9701848539057841,0.960095770151636,0.9647153167602245,0.9624,0.9815557337610264
random_forest,0.9531463748290013,0.9521254212903888,0.9903238254816927,0.9878966421067435,0.9599761051373955,0.9582587954680978,0.944,0.946271050521251,0.9451341609931918,0.9574979951884522,0.9534883720930233,0.9524107677961785,0.990570093328341,0.9875662862381401,0.9567279193835211,0.962432915921288,0.9490703314470493,0.9414595028067362,0.9452495974235104,0.9631114675220529
logistic_regression,0.9466484268125855,0.9453304664859307,0.9855184942370933,0.9785729304587745,0.9470899470899471,0.960644007155635,0.946034341782502,0.9278267842822775,0.9368421052631579,0.9526864474739375,0.9504103967168263,0.9492345976310836,0.9857638057037547,0.9736857956877886,0.9527186761229315,0.9612403100775194,0.9472402597402597,0.9358460304731355,0.9415086728519564,0.9470729751403368
decision_tree,0.9121067031463749,0.9105395983598585,0.9681924752979005,0.9536446578965487,0.934516523867809,0.9105545617173524,0.8837209302325582,0.9141940657578188,0.8986992510839574,0.8452285485164395,0.9209986320109439,0.9191767913457551,0.9712827781308414,0.9581080487848367,0.9288256227758007,0.9338103756708408,0.9103392568659128,0.9037690457097033,0.9070422535211268,0.8700882117080995
